date,open,close,high,low,volume,amount
2023-07-17,3881.623,3867.175,3881.623,3852.263,9834014400,0
2023-07-18,3871.044,3854.939,3871.044,3844.513,9143861500,0
2023-07-19,3848.483,3850.866,3860.009,3830.407,7958570000,0
2023-07-20,3857.773,3823.695,3875.624,3818.713,9204207600,0
2023-07-21,3816.984,3821.91,3849.511,3808.803,7950756300,0
2023-07-24,3803.349,3805.221,3828.785,3798.805,7548354500,0
2023-07-25,3866.645,3915.115,3915.815,3866.645,16306632000,0
2023-07-26,3908.174,3907.013,3912.983,3893.399,10788171700,0
2023-07-27,3914.23,3902.346,3935.358,3894.692,11066710900,0
2023-07-28,3889.793,3992.738,4000.919,3886.554,17973548100,0
2023-07-31,4018.89,4014.63,4064.362,4002.078,19960683000,0
2023-08-01,4009.183,3998.001,4031.701,3983.027,14228685900,0
2023-08-02,3985.695,3969.895,4008.334,3958.513,12585569000,0
2023-08-03,3962.13,4004.984,4005.0,3962.13,12900664000,0
2023-08-04,4033.724,4020.579,4058.243,4011.62,17826718900,0
2023-08-07,4002.968,3990.153,4002.968,3977.017,12131066200,0
2023-08-08,3980.042,3979.732,4002.29,3963.463,10987169900,0
2023-08-09,3967.357,3967.565,3982.109,3961.843,9464026900,0
2023-08-10,3962.857,3975.717,3976.464,3945.387,9717684900,0
2023-08-11,3977.983,3884.254,3977.983,3884.254,12608293100,0
2023-08-14,3840.887,3855.906,3859.472,3814.071,11596633600,0
2023-08-15,3858.366,3846.536,3865.284,3811.684,10309711100,0
2023-08-16,3830.827,3818.334,3852.42,3817.632,9461694600,0
2023-08-17,3801.197,3831.101,3836.151,3782.497,9841549300,0
2023-08-18,3832.455,3784.004,3844.195,3784.004,9554963800,0
2023-08-21,3773.225,3729.555,3782.111,3729.555,9870836900,0
2023-08-22,3748.068,3758.227,3770.056,3704.679,12031832700,0
2023-08-23,3751.774,3696.634,3756.166,3695.031,9708163800,0
2023-08-24,3711.54,3723.429,3748.857,3701.572,11961452100,0
2023-08-25,3703.514,3709.152,3734.219,3695.844,10518261000,0
2023-08-28,3911.549,3752.619,3911.549,3740.528,19799037900,0
2023-08-29,3743.053,3790.107,3810.377,3742.076,15248614600,0
2023-08-30,3803.119,3788.51,3813.703,3780.241,12967166100,0
2023-08-31,3786.926,3765.268,3793.997,3762.005,11896164600,0
2023-09-01,3778.913,3791.491,3808.531,3778.913,10531904500,0
2023-09-04,3812.987,3848.952,3854.261,3804.589,14238520100,0
2023-09-05,3839.578,3820.317,3839.578,3814.334,10405233300,0
2023-09-06,3808.1,3812.028,3817.524,3790.895,9344239300,0
2023-09-07,3802.227,3758.475,3802.227,3756.853,9510390300,0
2023-09-08,3747.651,3739.993,3753.263,3724.987,7163816600,0
2023-09-11,3740.585,3767.537,3788.322,3734.723,10535801600,0
2023-09-12,3764.333,3760.605,3775.093,3755.416,7938537800,0
2023-09-13,3759.609,3736.651,3768.816,3719.111,8157690100,0
2023-09-14,3736.936,3733.508,3748.818,3717.311,10038607500,0
2023-09-15,3740.785,3708.777,3749.025,3699.381,10939568900,0
2023-09-18,3698.934,3727.711,3737.531,3691.111,8672774100,0
